Unnamed: 0,username,comicID,rating
42649,ChronoKid,13171,3.0
57625,gunesthestrange,32931,4.0
31347,NotJustJuice2,3986,5.0
6603,Noto0803,29,5.0
38724,taynis,9296,4.0
42490,NikyNeko,12888,5.0
40431,Yumerei,11652,4.0
44661,logic340,14440,3.0
69970,Sunmazu,82427,4.0
49462,fendo160,21525,5.0
48837,MGabriel17,20593,5.0
40314,ignisha,11652,5.0
27992,LeonhartAugust,3403,4.0
54870,DeepO9,26769,5.0
51413,DarkenedEmbers,24098,5.0
36979,Northen_Lights,8042,4.0
41478,shinshoki,12309,3.0
42863,safena_ken,13245,5.0
27209,Ebisu-sama,3116,4.0
74459,Silver_Noir,103890,4.0
70695,Vegetableisbadfo,87609,4.0
52139,Zurajannai,24561,4.0
27167,MoonFighter,3116,5.0
51275,MaltosBry28,23390,5.0
42341,Yuka-,12888,5.0
35881,Andralexa,7378,5.0
4915,Rewelka,21,5.0
52291,meowricles,24692,5.0
41313,Gas,12245,4.0
18648,reldrick,878,4.0
32189,iaimanga,4392,5.0
19027,santetjan,933,3.0
37029,madeirabs,8042,4.0
51063,acotede,23390,1.0
32345,rukia16,4514,4.0
12483,Tchyo,436,4.0
37748,Kuraire,8341,3.0
56275,Melmothia,29983,4.0
52926,Sakurei,24836,2.0
59500,Lyricae,35719,5.0
37165,ladyblu,8157,5.0
67753,mrberto23,70251,4.0
22811,NijiOfNatsu,1474,4.0
11866,Fraxtal,366,3.0
2140,Otakezz,11,4.0
55546,UlinLaethan,28226,4.0
3880,Meira_Eve,14,4.0
38986,pp813,9711,5.0
17402,barring,676,4.0
75880,JaVzD,112268,4.0
71139,Dansai,89087,3.0
48763,IcedFlame,20593,3.0
67986,Silver_Noir,70345,5.0
23720,anakurama,1702,5.0
26106,Riseha,2923,4.0
59271,Nateriver20,35573,3.0
39566,KissMyAnthia,10552,4.0
47509,FelipeSL,17915,3.0
2227,samm96,11,5.0
35750,Soiku,7378,4.0
70038,gufiotaku,83021,3.0
7143,Connybaum,36,4.0
52415,StrawhatAJ,24692,4.0
49048,Melodie321,21077,4.0
42909,BingerWatcher,13245,4.0
46495,Sakucita,17353,4.0
39552,xxesxx,10552,4.0
77424,NotJustJuice2,122663,3.0
65521,Pito9,56857,2.0
